Rk,Squad,Comp,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog
1,Alavés,es La Liga,32,38,9612,13973,68.8,182169,82559,4283,5328,80.4,3614,4788,75.5,1385,2920,47.4,20,26.9,22,-6.9,236,723,171,56,722
2,Amiens,fr Ligue 1,27,28,9685,12850,75.4,167666,69294,4758,5530,86,3638,4570,79.6,1006,2015,49.9,20,16.9,17.5,+3.1,161,739,127,41,793
3,Angers,fr Ligue 1,26,28,10518,13458,78.2,183652,73731,4767,5387,88.5,4021,4778,84.2,1219,2274,53.6,21,23,21.8,-2,267,736,195,68,803
4,Arsenal,eng Premier League,29,38,16634,20410,81.5,292657,94452,7259,8103,89.6,7300,8331,87.6,1596,2772,57.6,35,31.4,28.5,+3.6,298,1164,311,63,1116
5,Aston Villa,eng Premier League,28,38,11652,15672,74.3,217478,84199,5074,5895,86.1,4810,5882,81.8,1480,3002,49.3,32,34.2,27.7,-2.2,369,908,270,95,899
6,Atalanta,it Serie A,30,38,17945,21860,82.1,301978,102766,8671,9684,89.5,6817,7927,86,1732,2818,61.5,68,58.9,46.2,+9.1,535,1291,440,99,1330
7,Athletic Club,es La Liga,26,38,12533,16915,74.1,234527,90251,5521,6494,85,4692,5831,80.5,1830,3367,54.4,23,26.2,25.2,-3.2,277,967,217,85,894
8,Atlético Madrid,es La Liga,30,38,13595,17765,76.5,221969,88351,6783,7777,87.2,4581,5696,80.4,1344,2676,50.2,35,39.4,37.1,-4.4,330,904,289,49,1024
9,Augsburg,de Bundesliga,28,34,8439,12287,68.7,157794,67041,3561,4445,80.1,3403,4308,79,1149,2545,45.1,29,29.7,22.9,-0.7,256,542,169,53,624
10,Barcelona,es La Liga,28,38,24758,28227,87.7,391043,119999,12607,13663,92.3,9116,9973,91.4,1888,2617,72.1,62,49.5,51.2,+12.5,384,1827,417,31,1415
11,Bayern Munich,de Bundesliga,29,34,20586,24272,84.8,362038,120129,9118,10102,90.3,8654,9667,89.5,2153,3150,68.3,75,73.1,80.1,+1.9,481,1717,498,120,1602
12,Betis,es La Liga,27,38,16182,19823,81.6,284815,94496,7354,8220,89.5,6504,7416,87.7,1774,2986,59.4,35,36.9,33.8,-1.9,360,1015,322,84,972
13,Bologna,it Serie A,31,38,14608,18465,79.1,251345,95747,6955,7885,88.2,5859,6960,84.2,1377,2513,54.8,31,41.3,30.8,-10.3,418,1201,293,67,1228
14,Bordeaux,fr Ligue 1,26,28,12252,15092,81.2,216236,76122,5301,5940,89.2,5471,6290,87,1140,2058,55.4,29,21.2,18,+7.8,217,723,112,31,735
15,Bournemouth,eng Premier League,27,38,12042,16387,73.5,208868,82507,5798,6832,84.9,4689,5821,80.6,1231,2655,46.4,24,30.6,25.7,-6.6,280,921,227,49,896
16,Brescia,it Serie A,32,38,10833,14648,74,195788,80651,4731,5583,84.7,4291,5316,80.7,1347,2595,51.9,22,28.8,26.9,-6.8,288,830,253,78,947
17,Brest,fr Ligue 1,24,28,11054,14206,77.8,208602,76093,4569,5299,86.2,4931,5835,84.5,1383,2456,56.3,27,22.1,21.4,+4.9,250,786,211,70,803
18,Brighton,eng Premier League,25,38,15881,20056,79.2,290667,102483,6755,7803,86.6,7139,8265,86.4,1701,3003,56.6,24,31.6,27.3,-7.6,343,1124,294,62,1227
19,Burnley,eng Premier League,22,38,10049,14694,68.4,181797,76085,4700,5595,84,3686,4854,75.9,1295,3221,40.2,30,32.4,28.5,-2.4,280,787,217,99,702
20,Cagliari,it Serie A,33,38,13131,16868,77.8,245291,89756,5524,6270,88.1,5722,6816,83.9,1629,2972,54.8,34,32,26.6,+2.0,344,984,246,87,947
21,Celta Vigo,es La Liga,30,38,14552,18557,78.4,249112,90316,6742,7687,87.7,5746,6750,85.1,1422,2704,52.6,26,26.2,26.2,-0.2,279,970,253,60,958
22,Chelsea,eng Premier League,27,38,20958,25213,83.1,352089,108963,9753,10903,89.5,8527,9698,87.9,1843,2989,61.7,46,46.7,42.3,-0.7,459,1463,411,108,1299
23,Crystal Palace,eng Premier League,25,38,12274,16395,74.9,212859,86923,5857,6822,85.9,4679,5712,81.9,1307,2747,47.6,20,26,24.4,-6,265,910,243,47,919
