Rk,Squad,Comp,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG
1,Alavés,es La Liga,32,27.6,41.5,38,418,3420,38,34,20,28,6,6,111,7,0.89,0.53,1.42,0.74,1.26,39.3,34.7,26.9,61.6,1.03,0.71,1.74,0.91,1.62
2,Amiens,fr Ligue 1,27,27.4,45.6,28,308,2520,28,30,20,27,3,5,57,4,1.07,0.71,1.79,0.96,1.68,27.4,23.4,16.9,40.4,0.98,0.6,1.58,0.84,1.44
3,Angers,fr Ligue 1,26,28,45.3,28,308,2520,28,27,21,26,1,1,42,2,0.96,0.75,1.71,0.93,1.68,29.3,28.5,23,51.5,1.05,0.82,1.87,1.02,1.84
4,Arsenal,eng Premier League,29,25.8,53.8,38,418,3420,38,56,35,53,3,3,88,5,1.47,0.92,2.39,1.39,2.32,47,44.6,31.4,76.1,1.24,0.83,2.06,1.17,2
5,Aston Villa,eng Premier League,28,25.7,44.1,38,418,3420,38,40,32,39,1,3,70,1,1.05,0.84,1.89,1.03,1.87,44.3,41.8,34.2,76,1.16,0.9,2.06,1.1,2
6,Atalanta,it Serie A,30,27.2,57.2,38,418,3420,38,96,68,89,7,10,80,2,2.53,1.79,4.32,2.34,4.13,83.5,75.6,58.9,134.5,2.2,1.55,3.75,1.99,3.54
7,Athletic Club,es La Liga,26,26.7,48.7,38,418,3420,38,40,23,32,8,10,90,2,1.05,0.61,1.66,0.84,1.45,41.5,33.8,26.2,60,1.09,0.69,1.78,0.89,1.58
8,Atlético Madrid,es La Liga,30,26.1,48.6,38,418,3420,38,50,35,44,6,8,93,3,1.32,0.92,2.24,1.16,2.08,56.8,50.6,39.4,90,1.5,1.04,2.53,1.33,2.37
9,Augsburg,de Bundesliga,28,26.2,38.6,34,374,3060,34,45,29,42,3,5,68,2,1.32,0.85,2.18,1.24,2.09,43.1,39.1,29.7,68.8,1.27,0.87,2.14,1.15,2.02
10,Barcelona,es La Liga,28,27.8,66.4,38,418,3420,38,84,62,78,6,6,92,6,2.21,1.63,3.84,2.05,3.68,66.3,61.7,49.5,111.2,1.75,1.3,3.05,1.62,2.93
11,Bayern Munich,de Bundesliga,29,26.7,65.1,34,374,3060,34,97,75,91,6,6,54,3,2.85,2.21,5.06,2.68,4.88,89.5,84.8,73.1,157.9,2.63,2.15,4.78,2.49,4.64
12,Betis,es La Liga,27,27.5,56.7,38,418,3420,38,48,35,42,6,8,108,9,1.26,0.92,2.18,1.11,2.03,51,45.2,36.9,82,1.34,0.97,2.31,1.19,2.16
13,Bologna,it Serie A,31,27.2,52.6,38,418,3420,38,48,31,43,5,6,109,7,1.26,0.82,2.08,1.13,1.95,56.9,52.2,41.3,93.5,1.5,1.09,2.58,1.37,2.46
14,Bordeaux,fr Ligue 1,26,26.9,53.6,28,308,2520,28,40,29,38,2,2,55,0,1.43,1.04,2.46,1.36,2.39,30,28.5,21.2,49.7,1.07,0.76,1.83,1.02,1.78
15,Bournemouth,eng Premier League,27,25.2,44.1,38,418,3420,38,38,24,34,4,4,78,3,1,0.63,1.63,0.89,1.53,44.8,41.7,30.6,72.3,1.18,0.8,1.98,1.1,1.9
16,Brescia,it Serie A,32,25.6,40.6,38,418,3420,38,34,22,30,4,4,95,6,0.89,0.58,1.47,0.79,1.37,43.4,40.2,28.8,69,1.14,0.76,1.9,1.06,1.82
17,Brest,fr Ligue 1,24,26.1,49.8,28,308,2520,28,32,27,31,1,5,45,2,1.14,0.96,2.11,1.11,2.07,30.7,26.8,22.1,48.9,1.1,0.79,1.89,0.96,1.75
18,Brighton,eng Premier League,25,26.4,52.2,38,418,3420,38,35,24,34,1,2,59,2,0.92,0.63,1.55,0.89,1.53,45.4,43.8,31.6,75.4,1.2,0.83,2.03,1.15,1.99
19,Burnley,eng Premier League,22,28,41.9,38,418,3420,38,41,30,38,3,3,67,0,1.08,0.79,1.87,1,1.79,47.4,45.3,32.4,77.7,1.25,0.85,2.1,1.19,2.04
20,Cagliari,it Serie A,33,27.4,45.7,38,418,3420,38,50,34,46,4,6,108,6,1.32,0.89,2.21,1.21,2.11,41.8,37.1,32,69,1.1,0.84,1.94,0.98,1.82
21,Celta Vigo,es La Liga,30,25.8,51.7,38,418,3420,38,37,26,31,6,9,104,6,0.97,0.68,1.66,0.82,1.5,39.2,32.4,26.2,58.7,1.03,0.69,1.72,0.85,1.54
22,Chelsea,eng Premier League,27,25.5,60.4,38,418,3420,38,69,46,62,7,7,60,0,1.82,1.21,3.03,1.63,2.84,69.2,64.4,46.7,111.1,1.82,1.23,3.05,1.7,2.92
23,Crystal Palace,eng Premier League,25,29.4,44.8,38,418,3420,38,29,20,26,3,3,62,2,0.76,0.53,1.29,0.68,1.21,35.8,33.6,26,59.5,0.94,0.68,1.63,0.88,1.57
24,Dijon,fr Ligue 1,28,26.9,46.5,28,308,2520,28,26,17,25,1,1,43,2,0.93,0.61,1.54,0.89,1.5,30.5,29.9,22.9,52.8,1.09,0.82,1.91,1.07,1.88
25,Dortmund,de Bundesliga,27,25.8,60.4,34,374,3060,34,84,74,82,2,2,49,1,2.47,2.18,4.65,2.41,4.59,61,59.5,50.6,110.1,1.8,1.49,3.28,1.75,3.24
26,Düsseldorf,de Bundesliga,28,27.1,45.6,34,374,3060,34,36,26,32,4,4,78,0,1.06,0.76,1.82,0.94,1.71,35.9,32.7,24.2,56.9,1.06,0.71,1.77,0.96,1.67
27,Eibar,es La Liga,26,29.3,46.3,38,418,3420,38,38,24,31,7,10,92,3,1,0.63,1.63,0.82,1.45,42,34.2,26,60.2,1.1,0.68,1.79,0.9,1.58
28,Eint Frankfurt,de Bundesliga,27,27,50.9,34,374,3060,34,57,45,55,2,2,71,4,1.68,1.32,3,1.62,2.94,59.5,58,44.8,102.8,1.75,1.32,3.07,1.71,3.02
29,Espanyol,es La Liga,31,27.7,47.4,38,418,3420,38,25,17,21,4,4,107,9,0.66,0.45,1.11,0.55,1,38.6,35.6,27.3,62.9,1.02,0.72,1.74,0.94,1.66
30,Everton,eng Premier League,24,25.5,49,38,418,3420,38,42,32,41,1,1,76,3,1.11,0.84,1.95,1.08,1.92,50.8,50,38.1,88.1,1.34,1,2.34,1.32,2.32
31,Fiorentina,it Serie A,33,25.1,47.4,38,418,3420,38,48,30,39,9,11,105,5,1.26,0.79,2.05,1.03,1.82,53.6,45.4,34.5,79.8,1.41,0.91,2.32,1.19,2.1
32,Freiburg,de Bundesliga,26,26.4,48.1,34,374,3060,34,46,27,41,5,6,43,2,1.35,0.79,2.15,1.21,2,46.7,42,33,75,1.37,0.97,2.34,1.24,2.21
