Rk,Squad,Comp,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
1,Alavés,es La Liga,32,38,579,346,261,265,53,255,619,41.2,364,385,114,271,392,971,766,7
2,Amiens,fr Ligue 1,27,28,425,238,194,184,47,201,510,39.4,309,280,87,193,300,725,615,17
3,Angers,fr Ligue 1,26,28,439,279,206,178,55,177,452,39.2,275,229,51,178,267,706,513,8
4,Arsenal,eng Premier League,29,38,584,336,296,217,71,249,612,40.7,363,398,141,257,351,935,754,18
5,Aston Villa,eng Premier League,28,38,523,291,285,174,64,223,597,37.4,374,456,184,272,423,946,928,26
6,Atalanta,it Serie A,30,38,627,351,252,278,97,263,643,40.9,380,396,111,285,418,1045,532,12
7,Athletic Club,es La Liga,26,38,533,324,262,204,67,217,613,35.4,396,339,92,247,373,906,755,7
8,Atlético Madrid,es La Liga,30,38,658,406,293,272,93,283,640,44.2,357,380,108,272,412,1070,729,18
9,Augsburg,de Bundesliga,28,34,534,314,271,215,48,220,563,39.1,343,362,123,239,434,968,778,8
10,Barcelona,es La Liga,28,38,536,323,216,223,97,211,501,42.1,290,313,87,226,342,878,529,16
11,Bayern Munich,de Bundesliga,29,34,500,293,180,222,98,211,503,41.9,292,290,79,211,341,841,382,9
12,Betis,es La Liga,27,38,501,299,276,173,52,221,511,43.2,290,336,119,217,302,803,682,8
13,Bologna,it Serie A,31,38,575,338,270,238,67,226,619,36.5,393,390,125,265,412,987,667,13
14,Bordeaux,fr Ligue 1,26,28,483,284,232,206,45,230,595,38.7,365,237,89,148,302,785,575,13
15,Bournemouth,eng Premier League,27,38,507,299,254,206,47,207,567,36.5,360,439,160,279,475,982,1008,16
16,Brescia,it Serie A,32,38,507,273,256,195,56,226,559,40.4,333,399,170,229,361,868,886,12
17,Brest,fr Ligue 1,24,28,484,282,238,186,60,184,472,39,288,263,82,181,352,836,537,11
18,Brighton,eng Premier League,25,38,641,379,295,269,77,245,642,38.2,397,437,137,300,419,1060,750,15
19,Burnley,eng Premier League,22,38,547,344,238,241,68,240,585,41,345,450,175,275,387,934,901,15
20,Cagliari,it Serie A,33,38,560,338,300,203,57,231,619,37.3,388,445,174,271,337,897,855,13
21,Celta Vigo,es La Liga,30,38,589,357,344,193,52,251,615,40.8,364,345,89,256,396,985,807,12
22,Chelsea,eng Premier League,27,38,638,362,304,258,76,246,604,40.7,358,361,91,270,459,1097,631,14
23,Crystal Palace,eng Premier League,25,38,686,390,367,244,75,316,711,44.4,395,399,135,264,444,1130,856,18
24,Dijon,fr Ligue 1,28,28,516,304,259,208,49,239,548,43.6,309,277,100,177,332,848,596,14
25,Dortmund,de Bundesliga,27,34,529,329,249,214,66,226,509,44.4,283,353,88,265,375,904,463,10
26,Düsseldorf,de Bundesliga,28,34,496,307,244,199,53,200,540,37,340,350,105,245,376,872,610,9
27,Eibar,es La Liga,26,38,567,338,240,228,99,264,607,43.5,343,332,81,251,430,997,692,8
28,Eint Frankfurt,de Bundesliga,27,34,596,377,278,246,72,232,617,37.6,385,403,97,306,376,972,520,5
29,Espanyol,es La Liga,31,38,628,364,303,253,72,257,701,36.7,444,380,96,284,360,988,731,17
30,Everton,eng Premier League,24,38,671,408,328,262,81,282,672,42,390,372,111,261,408,1079,778,13
31,Fiorentina,it Serie A,33,38,571,333,300,205,66,213,628,33.9,415,346,98,248,347,918,719,9
32,Freiburg,de Bundesliga,26,34,431,253,226,162,43,175,497,35.2,322,401,157,244,354,785,810,18
33,Genoa,it Serie A,34,38,551,335,268,210,73,212,589,36,377,410,150,260,385,936,775,16
34,Getafe,es La Liga,30,38,580,341,235,263,82,235,573,41,338,374,60,314,367,947,625,12
35,Granada,es La Liga,27,38,584,349,257,257,70,238,570,41.8,332,375,118,257,383,967,750,10
36,Hellas Verona,it Serie A,30,38,488,290,237,187,64,203,463,43.8,260,361,173,188,398,886,825,10
37,Hertha BSC,de Bundesliga,32,34,555,340,282,221,52,208,521,39.9,313,434,130,304,410,965,794,12
38,Hoffenheim,de Bundesliga,31,34,529,309,283,196,50,239,578,41.3,339,384,121,263,349,878,719,9
39,Inter,it Serie A,29,38,524,287,228,212,84,196,575,34.1,379,371,120,251,370,894,657,12
40,Juventus,it Serie A,30,38,539,318,225,219,95,224,582,38.5,358,374,120,254,370,909,590,14
41,Köln,de Bundesliga,29,34,610,414,293,258,59,249,622,40,373,397,97,300,435,1045,681,5
