Rk,Squad,Comp,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
1,Alavés,es La Liga,32,38,34,307,98,31.9,8.08,2.58,0.09,0.29,16.7,11,6,6,39.3,34.7,0.12,-5.3,-6.7
2,Amiens,fr Ligue 1,27,28,30,229,77,33.6,8.18,2.75,0.12,0.35,19.3,13,3,5,27.4,23.4,0.1,+2.6,+3.6
3,Angers,fr Ligue 1,26,28,27,363,113,31.1,12.96,4.04,0.07,0.23,19.2,16,1,1,29.3,28.5,0.08,-2.3,-2.5
4,Arsenal,eng Premier League,29,38,56,403,146,36.2,10.61,3.84,0.13,0.36,16.4,19,3,3,47,44.6,0.11,+9.0,+8.4
5,Aston Villa,eng Premier League,28,38,40,453,147,32.5,11.92,3.87,0.09,0.27,17.5,21,1,3,44.3,41.8,0.09,-4.3,-2.8
6,Atalanta,it Serie A,30,38,96,700,256,36.6,18.42,6.74,0.13,0.35,17.3,31,7,10,83.5,75.6,0.11,+12.5,+13.4
7,Athletic Club,es La Liga,26,38,40,401,126,31.4,10.55,3.32,0.08,0.25,18.8,16,8,10,41.5,33.8,0.09,-1.5,-1.8
8,Atlético Madrid,es La Liga,30,38,50,440,136,30.9,11.58,3.58,0.1,0.32,17.3,14,6,8,56.8,50.6,0.12,-6.8,-6.6
9,Augsburg,de Bundesliga,28,34,45,358,129,36,10.53,3.79,0.12,0.33,19,24,3,5,43.1,39.1,0.11,+1.9,+2.9
10,Barcelona,es La Liga,28,38,84,488,213,43.6,12.84,5.61,0.16,0.37,17.4,46,6,6,66.3,61.7,0.13,+17.7,+16.3
11,Bayern Munich,de Bundesliga,29,34,97,609,243,39.9,17.91,7.15,0.15,0.37,16.5,13,6,6,89.5,84.8,0.14,+7.5,+6.2
12,Betis,es La Liga,27,38,48,471,152,32.3,12.39,4,0.09,0.28,18.4,20,6,8,51,45.2,0.1,-3,-3.2
13,Bologna,it Serie A,31,38,48,549,160,29.1,14.45,4.21,0.08,0.27,18.8,29,5,6,56.9,52.2,0.1,-8.9,-9.2
14,Bordeaux,fr Ligue 1,26,28,40,308,106,34.4,11,3.79,0.12,0.36,19.8,21,2,2,30,28.5,0.09,+10.0,+9.5
15,Bournemouth,eng Premier League,27,38,38,385,117,30.4,10.13,3.08,0.09,0.29,17.3,21,4,4,44.8,41.7,0.11,-6.8,-7.7
16,Brescia,it Serie A,32,38,34,414,138,33.3,10.89,3.63,0.07,0.22,17.9,32,4,4,43.4,40.2,0.1,-9.4,-10.2
17,Brest,fr Ligue 1,24,28,32,320,97,30.3,11.43,3.46,0.1,0.32,19.2,7,1,5,30.7,26.8,0.08,+1.3,+4.2
18,Brighton,eng Premier League,25,38,35,460,139,30.2,12.11,3.66,0.07,0.24,17.6,11,1,2,45.4,43.8,0.1,-10.4,-9.8
19,Burnley,eng Premier League,22,38,41,384,124,32.3,10.11,3.26,0.1,0.31,16.4,18,3,3,47.4,45.3,0.12,-6.4,-7.3
20,Cagliari,it Serie A,33,38,50,438,136,31.1,11.53,3.58,0.11,0.34,19.5,16,4,6,41.8,37.1,0.09,+8.2,+8.9
21,Celta Vigo,es La Liga,30,38,37,359,131,36.5,9.45,3.45,0.09,0.24,18.8,23,6,9,39.2,32.4,0.09,-2.2,-1.4
22,Chelsea,eng Premier League,27,38,69,618,210,34,16.26,5.53,0.1,0.3,16.6,29,7,7,69.2,64.4,0.11,-0.2,-2.4
23,Crystal Palace,eng Premier League,25,38,29,373,115,30.8,9.82,3.03,0.07,0.23,17,15,3,3,35.8,33.6,0.09,-6.8,-7.6
24,Dijon,fr Ligue 1,28,28,26,335,100,29.9,11.96,3.57,0.07,0.25,18.7,11,1,1,30.5,29.9,0.09,-4.5,-4.9
25,Dortmund,de Bundesliga,27,34,84,442,188,42.5,13,5.53,0.19,0.44,16.7,14,2,2,61,59.5,0.14,+23.0,+22.5
26,Düsseldorf,de Bundesliga,28,34,36,424,114,26.9,12.47,3.35,0.08,0.28,20,20,4,4,35.9,32.7,0.08,+0.1,-0.7
27,Eibar,es La Liga,26,38,38,419,132,31.5,11.03,3.47,0.07,0.23,18.9,21,7,10,42,34.2,0.08,-4,-3.2
28,Eint Frankfurt,de Bundesliga,27,34,57,500,170,34,14.71,5,0.11,0.32,16.7,16,2,2,59.5,58,0.12,-2.5,-3
29,Espanyol,es La Liga,31,38,25,407,120,29.5,10.71,3.16,0.05,0.18,19.1,20,4,4,38.6,35.6,0.09,-13.6,-14.6
30,Everton,eng Premier League,24,38,42,468,159,34,12.32,4.18,0.09,0.26,16.4,20,1,1,50.8,50,0.11,-8.8,-9
31,Fiorentina,it Serie A,33,38,48,538,170,31.6,14.16,4.47,0.07,0.23,18.2,23,9,11,53.6,45.4,0.09,-5.6,-6.4
32,Freiburg,de Bundesliga,26,34,46,442,138,31.2,13,4.06,0.09,0.3,17.7,27,5,6,46.7,42,0.1,-0.7,-1
33,Genoa,it Serie A,34,38,46,420,140,33.3,11.05,3.68,0.08,0.25,19.2,24,11,16,48.7,36.2,0.09,-2.7,-1.2
34,Getafe,es La Liga,30,38,42,408,121,29.7,10.74,3.18,0.09,0.3,18.6,31,6,7,41.6,36.1,0.09,+0.4,-0.1
35,Granada,es La Liga,27,38,50,389,118,30.3,10.24,3.11,0.12,0.38,19,25,5,5,44.9,40.9,0.11,+5.1,+4.1
36,Hellas Verona,it Serie A,30,38,45,435,146,33.6,11.45,3.84,0.09,0.25,17.4,12,8,9,50.5,43.6,0.1,-5.5,-6.6
37,Hertha BSC,de Bundesliga,32,34,45,357,119,33.3,10.5,3.5,0.12,0.35,17.7,12,3,3,43.1,40.7,0.12,+1.9,+1.3
38,Hoffenheim,de Bundesliga,31,34,52,447,154,34.5,13.15,4.53,0.11,0.32,17.1,24,3,4,56.1,53,0.12,-4.1,-4
