Rk,Squad,Comp,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
1,Alavés,es La Liga,26,38,14061,12027,1976,589,21,121,729,818,145,59,54,2,9631,58,342
2,Amiens,fr Ligue 1,26,38,16189,14079,2045,576,30,88,586,916,137,51,66,1,11932,65,324
3,Angers,fr Ligue 1,24,38,16772,14829,1892,510,37,93,628,823,166,84,72,1,12957,51,325
4,Arsenal,eng Premier League,28,38,22549,20518,1942,543,65,152,605,823,209,59,65,2,18425,89,453
5,Atalanta,it Serie A,27,38,22141,20066,2004,584,47,212,801,822,242,122,107,2,18142,71,406
6,Athletic Club,es La Liga,27,38,17584,15587,1923,577,49,185,728,847,153,56,72,3,13195,74,369
7,Atlético Madrid,es La Liga,29,38,19014,17148,1786,470,77,144,590,730,217,83,96,0,14943,80,354
8,Augsburg,de Bundesliga,30,34,15066,13300,1681,411,22,146,603,750,142,37,79,10,10999,85,380
9,Barcelona,es La Liga,30,38,26691,24835,1754,575,148,219,394,676,205,68,33,2,23263,102,354
10,Bayern Munich,de Bundesliga,24,34,23944,22241,1615,385,47,209,777,712,287,112,125,2,20441,88,396
11,Betis,es La Liga,25,38,22871,20943,1849,640,50,234,590,658,186,58,57,17,19411,79,361
12,Bologna,it Serie A,29,38,15954,13825,2046,560,11,110,737,832,207,107,41,3,12019,83,369
13,Bordeaux,fr Ligue 1,33,38,18571,16552,1959,539,47,154,658,834,168,99,52,2,14526,60,382
14,Bournemouth,eng Premier League,28,38,17650,15632,1961,512,57,84,613,832,191,74,58,2,13505,57,435
15,Brighton,eng Premier League,21,38,15824,13912,1822,330,15,188,636,880,156,90,44,4,11491,90,342
16,Burnley,eng Premier League,23,38,14793,12804,1883,395,35,108,692,891,139,98,22,9,10134,106,327
17,Caen,fr Ligue 1,26,38,15516,13480,1986,555,19,209,647,895,126,47,65,1,11472,50,311
18,Cagliari,it Serie A,30,38,18871,16789,2024,547,31,153,794,826,190,74,96,3,14474,58,369
19,Cardiff City,eng Premier League,25,38,11715,9823,1815,423,39,60,562,799,168,102,35,19,7170,77,313
20,Celta Vigo,es La Liga,28,38,18808,16862,1856,548,35,191,659,697,163,70,58,3,14955,90,314
21,Chelsea,eng Premier League,24,38,26774,24894,1797,471,146,216,692,762,215,74,86,19,22960,83,434
22,Chievo,it Serie A,36,38,16525,14562,1885,528,17,169,677,760,131,51,48,3,12531,78,354
23,Crystal Palace,eng Premier League,26,38,16870,14898,1894,435,26,101,577,816,205,89,30,62,12697,78,367
24,Dijon,fr Ligue 1,26,38,17019,15043,1917,487,33,171,606,828,167,70,63,2,13027,59,327
25,Dortmund,de Bundesliga,23,34,22172,20416,1690,457,63,139,458,752,168,54,77,1,18779,66,390
26,Düsseldorf,de Bundesliga,24,34,14623,12897,1677,457,26,218,544,649,144,34,91,3,11056,49,301
27,Eibar,es La Liga,25,38,18501,16274,2135,547,20,287,1057,1042,223,36,152,4,12976,92,463
28,Eint Frankfurt,de Bundesliga,30,34,14928,13127,1720,454,52,109,678,769,179,65,64,0,10568,81,379
29,Empoli,it Serie A,29,38,18410,16384,1949,535,38,175,636,772,187,69,76,4,14608,77,385
30,Espanyol,es La Liga,25,38,17740,15748,1908,579,70,174,544,734,175,45,59,14,13855,84,381
31,Everton,eng Premier League,23,38,18477,16376,2032,495,44,140,814,947,215,79,114,4,13878,69,416
32,Fiorentina,it Serie A,27,38,17283,15287,1948,564,42,140,780,761,236,53,131,2,13307,48,341
33,Freiburg,de Bundesliga,28,34,14903,13145,1707,449,19,175,528,679,150,90,38,1,11389,51,322
34,Frosinone,it Serie A,33,38,15608,13580,1955,584,15,167,815,748,160,65,66,3,11532,73,385
35,Fulham,eng Premier League,28,38,19303,17396,1817,412,33,145,611,769,161,57,62,7,15096,90,339
