Rk,Squad,Country,LgRk
1,Inter,it ITA,1
2,Bayern Munich,de GER,1
3,Manchester City,eng ENG,1
4,Atlético Madrid,es ESP,1
5,Real Madrid,es ESP,2
6,Lille,fr FRA,1
7,Paris S-G,fr FRA,2
8,Barcelona,es ESP,3
9,Milan,it ITA,2
10,Atalanta,it ITA,3
11,Juventus,it ITA,4
12,Monaco,fr FRA,3
13,Napoli,it ITA,5
14,Sevilla,es ESP,4
15,Lyon,fr FRA,4
16,Manchester Utd,eng ENG,2
17,RB Leipzig,de GER,2
18,Dortmund,de GER,3
19,Liverpool,eng ENG,3
20,Wolfsburg,de GER,4
21,Lazio,it ITA,6
22,Chelsea,eng ENG,4
23,Eint Frankfurt,de GER,5
24,Leicester City,eng ENG,5
25,West Ham,eng ENG,6
26,Tottenham,eng ENG,7
27,Real Sociedad,es ESP,5
28,Roma,it ITA,7
29,Sassuolo,it ITA,8
30,Arsenal,eng ENG,8
31,Betis,es ESP,6
32,Marseille,fr FRA,5
33,Leeds United,eng ENG,9
34,Everton,eng ENG,10
35,Villarreal,es ESP,7
36,Leverkusen,de GER,6
37,Rennes,fr FRA,6
38,Lens,fr FRA,7
39,Union Berlin,de GER,7
40,Aston Villa,eng ENG,11
41,M'Gladbach,de GER,8
42,Montpellier,fr FRA,8
43,Celta Vigo,es ESP,8
44,Sampdoria,it ITA,9
45,Nice,fr FRA,9
46,Stuttgart,de GER,9
47,Freiburg,de GER,10
48,Hoffenheim,de GER,11
49,Metz,fr FRA,10
50,Athletic Club,es ESP,10
51,Saint-Étienne,fr FRA,11
52,Granada,es ESP,9
53,Hellas Verona,it ITA,10
54,Bordeaux,fr FRA,12
55,Newcastle Utd,eng ENG,12
56,Wolves,eng ENG,13
57,Osasuna,es ESP,11
58,Angers,fr FRA,13
59,Cádiz,es ESP,12
60,Crystal Palace,eng ENG,14
61,Mainz 05,de GER,12
62,Valencia,es ESP,13
63,Southampton,eng ENG,15
64,Reims,fr FRA,14
65,Strasbourg,fr FRA,15
66,Genoa,it ITA,11
67,Lorient,fr FRA,16
68,Brighton,eng ENG,16
69,Levante,es ESP,14
70,Bologna,it ITA,12
71,Brest,fr FRA,17
72,Augsburg,de GER,13
73,Nantes,fr FRA,18
74,Fiorentina,it ITA,13
75,Udinese,it ITA,14
76,Hertha BSC,de GER,14
77,Spezia,it ITA,15
78,Burnley,eng ENG,17
79,Arminia,de GER,15
80,Getafe,es ESP,15
81,Alavés,es ESP,16
82,Cagliari,it ITA,16
83,Torino,it ITA,17
84,Köln,de GER,16
85,Elche,es ESP,17
86,Nîmes,fr FRA,19
87,Werder Bremen,de GER,17
88,Huesca,es ESP,18
89,Benevento,it ITA,18
90,Valladolid,es ESP,19
91,Eibar,es ESP,20
92,Fulham,eng ENG,18
93,West Brom,eng ENG,19
94,Sheffield Utd,eng ENG,20
95,Crotone,it ITA,19
96,Dijon,fr FRA,20
97,Parma,it ITA,20
98,Schalke 04,de GER,18
